document_id,maximal_passages,unique_words
GHD-02107,4,125
GHD-02162,5,124
GHD-04094,5,124
GHD-02085,5,123
GHD-03743,5,123
GHD-03287,4,123
GHD-03837,6,123
GHD-04583,4,122
GHD-02922,4,120
GHD-01248,4,120
GHD-00790,4,117
GHD-03820,4,117
GHD-04053,4,116
GHD-00004,4,115
GHD-01059,9,115
GHD-01712,4,115
GHD-05274,5,114
GHD-00250,4,114
GHD-03066,4,112
GHD-02282,4,112
GHD-03633,4,111
GHD-03491,4,110
GHD-05276,3,110
GHD-01733,4,110
GHD-00298,4,109
GHD-00522,4,108
GHD-01695,2,107
GHD-02724,4,106
GHD-05092,4,103
GHD-04379,4,103
GHD-02977,4,103
GHD-05264,4,103
GHD-01266,3,102
GHD-01869,3,101
GHD-00224,4,101
GHD-03834,4,99
GHD-03661,3,97
GHD-03347,4,97
GHD-04554,3,95
GHD-02462,3,95
GHD-05047,4,95
GHD-01081,3,95
GHD-02290,4,93
GHD-04326,3,92
GHD-02709,4,91
GHD-04341,2,91
GHD-00497,4,91
GHD-00012,3,90
GHD-02610,3,90
GHD-04904,3,90
GHD-02132,3,90
GHD-04447,3,90
GHD-02097,3,90
GHD-03292,3,90
GHD-01969,3,90
GHD-01670,3,89
GHD-05174,4,88
GHD-02471,4,88
GHD-05365,2,88
GHD-03503,3,88
GHD-04906,3,87
GHD-04872,3,87
GHD-00086,3,87
GHD-05011,3,86
GHD-00029,3,86
GHD-01224,3,86
GHD-02760,3,86
GHD-00283,3,85
GHD-04333,3,85
GHD-04070,3,84
GHD-04057,2,84
GHD-01280,3,84
GHD-01942,3,84
GHD-00446,3,84
GHD-04375,3,84
GHD-01428,3,83
GHD-01628,2,82
GHD-04746,3,82
GHD-00389,3,82
GHD-01014,3,82
GHD-05095,3,82
GHD-01472,3,81
GHD-02513,3,81
GHD-01926,3,81
GHD-03748,3,81
GHD-03652,3,81
GHD-03107,3,81
GHD-02999,3,80
GHD-01046,3,80
GHD-04154,3,80
GHD-04742,3,80
GHD-02476,3,80
GHD-00359,3,80
GHD-03102,3,79
GHD-02914,3,79
GHD-05200,3,79
GHD-02212,3,78
GHD-05074,3,78
GHD-04071,3,78
GHD-04572,2,78
GHD-02736,3,77
GHD-05096,3,77
GHD-00824,3,77
GHD-04122,3,76
GHD-02768,3,76
GHD-00789,3,76
GHD-03240,3,76
GHD-01281,3,76
GHD-04794,3,75
GHD-04936,3,75
GHD-03920,3,74
GHD-01620,3,74
GHD-04578,3,74
GHD-00323,3,74
GHD-03822,3,74
GHD-03241,1,73
GHD-00854,2,73
GHD-05328,3,72
GHD-03252,3,72
GHD-02182,3,71
GHD-04965,3,71
GHD-00819,3,71
GHD-01277,3,70
GHD-01963,3,69
GHD-05278,3,69
GHD-01270,2,68
GHD-04601,3,67
GHD-02486,3,66
GHD-03706,3,66
GHD-02566,2,65
GHD-04369,3,65
GHD-00438,4,63
GHD-04737,2,62
GHD-00621,5,62
GHD-02485,2,62
GHD-03918,2,60
GHD-03550,2,60
GHD-04799,2,60
GHD-03577,2,60
GHD-03610,2,60
GHD-03165,2,60
GHD-03168,2,60
GHD-02793,2,60
GHD-02191,2,60
GHD-03224,2,60
GHD-03420,2,60
GHD-02355,2,60
GHD-03908,2,60
GHD-02628,2,60
GHD-02602,2,60
GHD-02583,2,60
GHD-03358,2,60
GHD-03244,2,60
GHD-03504,2,60
GHD-02047,2,60
